name,brand,barcode,category,subcategory,calories,protein,carbs,fat,saturated_fat,fiber,sugar,sodium,serving_size_g,serving_description,ingredients,allergens,is_per_unit,is_verified,portions
Chicken Wings (5),Nando's,,Fast Food,Chicken,282,25,1,20,6,0,0,610,130,5 wings,"Chicken Wings.

PERi-PERi Marinade: African Bird's Eye Chillies, Water, Garlic, Salt, Paprika, Onion, Citric Acid, Sunflower Oil, Lemon Juice, Oregano, Bay Leaves, Basil, Stabiliser (Xanthan Gum).

Contains SULPHITES (less than 10ppm from PERi-PERi sauce).

May Contain: SOY, WHEAT, MUSTARD, EGG.",Sulphites,true,true,
Chicken Wings (10),Nando's,,Fast Food,Chicken,564,50,2,40,12,0,0,1220,260,10 wings,"Chicken Wings.

PERi-PERi Marinade: African Bird's Eye Chillies, Water, Garlic, Salt, Paprika, Onion, Citric Acid, Sunflower Oil, Lemon Juice, Oregano, Bay Leaves, Basil, Stabiliser (Xanthan Gum).

Contains SULPHITES (less than 10ppm from PERi-PERi sauce).

May Contain: SOY, WHEAT, MUSTARD, EGG.",Sulphites,true,true,
Chicken Breast Pitta,Nando's,,Fast Food,Sandwiches,446,43,42,12,3,3,4,920,265,1 pitta,"Pitta bread, chicken breast, lettuce, tomato, PERinaise","Wheat, Eggs",true,true,
Chicken Thigh Burger,Nando's,,Fast Food,Burgers,570,35,46,28,6,3,6,1050,260,1 burger,"Burger bun, chicken thigh, lettuce, tomato, PERinaise","Wheat, Eggs",true,true,
Chicken Breast Burger,Nando's,,Fast Food,Burgers,480,43,45,15,3,3,6,980,250,1 burger,"Portuguese Roll: WHEAT Flour, Water, Vegetable Oil, Sugar, Yeast, Salt, Emulsifiers.

Chicken Breast Fillet (marinated with PERi-PERi): African Bird's Eye Chillies, Garlic, Salt, Paprika, Lemon Juice, Herbs.

PERinaise: Rapeseed Oil, Water, Spirit Vinegar, EGG Yolk, Sugar, MUSTARD, Salt.

Lettuce, Tomato: Fresh vegetables.

Contains SULPHITES (less than 10ppm).","Wheat, Eggs, Mustard, Sulphites",true,true,
Sunset Burger,Nando's,,Fast Food,Burgers,675,46,51,32,10,4,8,1380,320,1 burger,"Burger bun, chicken breast, cheese, bacon, caramelised onion, PERinaise","Wheat, Milk, Eggs",true,true,
PERi-PERi Chicken Wrap,Nando's,,Fast Food,Wraps,520,38,48,20,5,4,5,1150,280,1 wrap,"Tortilla wrap, chicken breast strips, lettuce, peppers, PERinaise","Wheat, Eggs",true,true,
Halloumi Sticks & Dip (5),Nando's,,Fast Food,Sides,405,20,24,26,14,1,3,1050,150,5 sticks with chilli jam,"Halloumi Cheese: MILK, Salt, Rennet.

Coating: WHEAT Flour, Water, Modified Starch, Salt, Raising Agents, Spices.

Chilli Jam: Sugar, Red Peppers, Chillies, Spirit Vinegar, Pectin, Salt.

Contains: MILK, WHEAT.","Milk, Wheat",true,true,
PERi-PERi Chips (Regular),Nando's,,Fast Food,Sides,380,5,52,17,2,5,0,480,180,Regular portion,"Potatoes, Vegetable Oil (Sunflower, Rapeseed).

PERi-PERi Salt: Salt, Paprika, Garlic, Onion, Cayenne Pepper, African Bird's Eye Chilli, Herbs.",,true,true,
PERi-PERi Chips (Large),Nando's,,Fast Food,Sides,570,8,78,26,3,8,0,720,270,Large portion,"Potatoes, vegetable oil, PERi-PERi salt",,true,true,
Spicy Rice,Nando's,,Fast Food,Sides,310,6,55,7,1,2,3,680,185,1 portion,"Long Grain Rice, Water, Peppers (Red, Green, Yellow), Sweetcorn, Parsley, Spices (Paprika, Turmeric, Cumin), Vegetable Oil, Salt.",,true,true,
Coleslaw,Nando's,,Fast Food,Sides,170,1,7,15,1.5,2,5,190,100,1 portion,"White Cabbage, Carrot, Onion.

Mayonnaise Dressing: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Maize Starch, Salt, MUSTARD Flour, Stabilisers, Preservative (Potassium Sorbate).","Eggs, Mustard",true,true,
Corn on the Cob,Nando's,,Fast Food,Sides,160,4,26,5,2,3,5,25,140,1 cob,"Sweetcorn, PERi-PERi butter",Milk,true,true,
Macho Peas,Nando's,,Fast Food,Sides,180,10,18,7,2,8,4,350,140,1 portion,"Garden peas, parsley, mint, lemon, PERi-PERi drizzle",,true,true,
PERi-Salted Chips,Nando's,,Fast Food,Sides,370,5,50,17,2,5,0,520,175,Regular portion,"Potatoes, vegetable oil, PERi-PERi salt",,true,true,
PERinaise (Pot),Nando's,,Fast Food,Sauces,180,0,2,19,2,0,1,280,40,1 pot,"Mayonnaise, PERi-PERi",Eggs,true,true,
Bottomless Frozen Yogurt,Nando's,,Fast Food,Desserts,170,5,30,4,2.5,0,24,80,150,1 serving (approx),"Frozen yogurt, toppings",Milk,true,true,
Natas,Nando's,,Fast Food,Desserts,240,3,28,13,6,0,14,90,70,1 tart,"Pastry, egg custard","Wheat, Milk, Eggs",true,true,
Chocolate Brownie,Nando's,,Fast Food,Desserts,350,4,42,18,8,2,32,120,90,1 brownie,"Chocolate, butter, sugar, eggs, flour","Wheat, Milk, Eggs, Soya",true,true,
The Great Imitator (Plant-Based),Nando's,,Fast Food,Vegetarian,320,25,8,22,3,4,2,780,180,2 pieces,"Plant-based protein, PERi-PERi marinade",Soya,true,true,
Pepperoni Passion (Medium),Domino's,,Fast Food,Pizza,1160,52,120,52,24,6,10,2800,450,Medium pizza (8 slices),"Pizza Dough: WHEAT Flour, Water, Vegetable Oil (Rapeseed), Sugar, Salt, Yeast, Improvers.

Tomato Sauce: Tomatoes, Water, Sugar, Salt, Garlic, Herbs (Oregano, Basil), Black Pepper.

Mozzarella Cheese: Cows' MILK, Salt, Starter Culture, Rennet.

Pepperoni: Pork, Beef, Salt, Spices (including Paprika), Dextrose, Garlic Powder, Sodium Nitrite, Ascorbic Acid.","Wheat, Milk",true,true,
Pepperoni Passion (Large),Domino's,,Fast Food,Pizza,1740,78,180,78,36,9,15,4200,675,Large pizza (10 slices),"Pizza dough, tomato sauce, mozzarella cheese, pepperoni","Wheat, Milk",true,true,
Mighty Meaty (Medium),Domino's,,Fast Food,Pizza,1280,60,124,60,28,6,12,3200,500,Medium pizza,"Pizza Dough: WHEAT Flour, Water, Vegetable Oil, Sugar, Salt, Yeast.

Tomato Sauce: Tomatoes, Water, Sugar, Salt, Garlic, Herbs.

Mozzarella Cheese: Cows' MILK, Salt, Starter Culture.

Pepperoni: Pork, Beef, Salt, Spices.

Sausage: Pork, Water, Salt, Spices, Preservatives.

Ham: Pork, Water, Salt, Preservatives.

Ground Beef: British Beef.

Bacon: Pork Belly, Salt, Sugar, Preservatives.","Wheat, Milk",true,true,
Mighty Meaty (Large),Domino's,,Fast Food,Pizza,1920,90,186,90,42,9,18,4800,750,Large pizza,"Pizza dough, tomato sauce, mozzarella, pepperoni, sausage, ham, beef, bacon","Wheat, Milk",true,true,
Vegi Supreme (Medium),Domino's,,Fast Food,Pizza,960,40,120,36,16,8,14,2200,420,Medium pizza,"Pizza dough, tomato sauce, mozzarella, mushrooms, peppers, onions, sweetcorn, tomatoes","Wheat, Milk",true,true,
Margherita (Medium),Domino's,,Fast Food,Pizza,880,36,112,32,16,5,8,1900,380,Medium pizza,"Pizza dough, tomato sauce, mozzarella cheese","Wheat, Milk",true,true,
Hawaiian (Medium),Domino's,,Fast Food,Pizza,1040,48,128,36,18,6,20,2600,440,Medium pizza,"Pizza dough, tomato sauce, mozzarella, ham, pineapple","Wheat, Milk",true,true,
Texas BBQ (Medium),Domino's,,Fast Food,Pizza,1200,56,136,48,22,6,28,2900,480,Medium pizza,"Pizza dough, BBQ sauce, mozzarella, bacon, chicken, red onion","Wheat, Milk",true,true,
New Yorker (Medium),Domino's,,Fast Food,Pizza,1280,64,128,56,26,6,12,3100,500,Medium pizza,"Pizza dough, tomato sauce, mozzarella, pepperoni, sausage, meatballs","Wheat, Milk",true,true,
Pizza Slice (per slice avg),Domino's,,Fast Food,Pizza,145,6,15,6.5,3,0.8,1.3,350,56,1 slice (medium pizza),"Pizza dough, tomato sauce, mozzarella, toppings","Wheat, Milk",true,true,
Garlic Bread,Domino's,,Fast Food,Sides,420,10,52,18,6,2,2,680,130,4 pieces,"Pizza dough, garlic butter, herbs","Wheat, Milk",true,true,
Cheesy Garlic Bread,Domino's,,Fast Food,Sides,560,18,54,28,14,2,2,1050,170,4 pieces,"Pizza dough, garlic butter, mozzarella cheese","Wheat, Milk",true,true,
Chicken Kickers (8 pieces),Domino's,,Fast Food,Chicken,420,28,32,20,4,2,4,1200,160,8 pieces,"Chicken breast, spicy coating, Frank's hot sauce",Wheat,true,true,
Chicken Strippers (4 pieces),Domino's,,Fast Food,Chicken,280,24,20,12,2,1,1,720,120,4 pieces,"Chicken breast strips, crispy coating",Wheat,true,true,
Potato Wedges,Domino's,,Fast Food,Sides,340,4,44,16,2,4,1,520,150,1 portion,"Potato wedges, seasoning",,true,true,
Twisted Dough Balls (8),Domino's,,Fast Food,Sides,260,6,40,8,3,2,2,420,100,8 balls,"Pizza dough, garlic butter","Wheat, Milk",true,true,
Coleslaw,Domino's,,Fast Food,Sides,190,1,6,18,2,1,4,250,100,1 pot,"White Cabbage, Carrot, Onion.

Mayonnaise Dressing: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Maize Starch, Salt, MUSTARD Flour, Stabilisers, Preservative (Potassium Sorbate).","Eggs, Mustard",true,true,
Cookies (5),Domino's,,Fast Food,Desserts,750,8,96,36,18,2,54,450,175,5 cookies,"Flour, chocolate chips, butter, sugar, eggs","Wheat, Milk, Eggs",true,true,
Chocolate Lava Cake,Domino's,,Fast Food,Desserts,340,4,40,18,8,2,28,180,95,1 cake,"Chocolate cake, molten chocolate centre","Wheat, Milk, Eggs, Soya",true,true,
Ben & Jerrys (100ml),Domino's,,Fast Food,Desserts,260,4,28,14,9,0,24,55,100,100ml tub,"Ice cream, mix-ins (varies)","Milk, Eggs",true,true,
Pepperoni Feast (Medium),Pizza Hut,,Fast Food,Pizza,1520,68,144,72,32,8,16,3600,560,Medium pan pizza,"Pizza Dough: WHEAT Flour, Water, Vegetable Oil, Yeast, Sugar, Salt.

Tomato Sauce: Tomatoes, Tomato Paste, Sugar, Salt, Garlic, Oregano.

Mozzarella Cheese: Cows' MILK, Salt, Cultures, Enzymes.

Pepperoni: Pork, Beef, Salt, Spices, Paprika, Dextrose, Garlic, Sodium Nitrite.","Wheat, Milk",true,true,
Margherita (Medium),Pizza Hut,,Fast Food,Pizza,1120,48,136,44,20,6,12,2400,480,Medium pan pizza,"Pan base, tomato sauce, mozzarella","Wheat, Milk",true,true,
Meat Feast (Medium),Pizza Hut,,Fast Food,Pizza,1680,80,144,84,40,8,16,4000,600,Medium pan pizza,"Pan base, tomato sauce, mozzarella, pepperoni, ham, beef, pork","Wheat, Milk",true,true,
BBQ Americano (Medium),Pizza Hut,,Fast Food,Pizza,1480,72,152,64,28,8,32,3400,560,Medium pan pizza,"Pan base, BBQ sauce, mozzarella, chicken, bacon, onion","Wheat, Milk",true,true,
Veggie Supreme (Medium),Pizza Hut,,Fast Food,Pizza,1200,48,144,48,22,10,18,2800,520,Medium pan pizza,"Pan base, tomato sauce, mozzarella, mushrooms, peppers, onions, sweetcorn","Wheat, Milk",true,true,
Hawaiian (Medium),Pizza Hut,,Fast Food,Pizza,1280,56,152,48,24,8,28,3000,540,Medium pan pizza,"Pan base, tomato sauce, mozzarella, ham, pineapple","Wheat, Milk",true,true,
Stuffed Crust Pepperoni (Medium),Pizza Hut,,Fast Food,Pizza,1920,88,168,96,48,8,18,4400,680,Medium stuffed crust,"Stuffed crust base, tomato sauce, mozzarella, pepperoni","Wheat, Milk",true,true,
Garlic Bread,Pizza Hut,,Fast Food,Sides,380,8,48,16,6,2,2,560,120,4 pieces,"Bread, garlic butter, herbs","Wheat, Milk",true,true,
Cheesy Garlic Bread,Pizza Hut,,Fast Food,Sides,520,16,50,28,14,2,2,920,160,4 pieces,"Bread, garlic butter, mozzarella","Wheat, Milk",true,true,
Chicken Wings (8),Pizza Hut,,Fast Food,Chicken,440,32,16,28,8,0,2,1200,200,8 wings,"Chicken wings, spice coating",,true,true,
Wedges,Pizza Hut,,Fast Food,Sides,320,4,40,16,2,4,1,480,140,1 portion,"Potato wedges, seasoning",,true,true,
Coleslaw,Pizza Hut,,Fast Food,Sides,180,1,5,17,2,1,4,230,100,1 pot,"White Cabbage, Carrot, Onion.

Mayonnaise Dressing: Rapeseed Oil, Water, Spirit Vinegar, Sugar, EGG Yolk, Modified Maize Starch, Salt, MUSTARD Flour, Stabilisers, Preservative (Potassium Sorbate).","Eggs, Mustard",true,true,
Cookie Dough,Pizza Hut,,Fast Food,Desserts,1180,12,144,60,32,4,84,680,280,1 cookie dough,"Cookie dough, chocolate chips, chocolate sauce, ice cream","Wheat, Milk, Eggs, Soya",true,true,
Ice Cream Factory,Pizza Hut,,Fast Food,Desserts,340,6,44,14,9,0,36,90,150,1 serving,"Soft serve ice cream, various toppings",Milk,true,true,
Latte (Medium),Costa Coffee,,Fast Food,Coffee,141,7,11,7,4.5,0,10,95,340,Medium latte,"Espresso, steamed milk",Milk,true,true,
Latte (Large),Costa Coffee,,Fast Food,Coffee,189,9,15,10,6,0,13,127,454,Large latte,"Espresso, steamed milk",Milk,true,true,
Cappuccino (Medium),Costa Coffee,,Fast Food,Coffee,115,6,9,6,4,0,8,77,340,Medium cappuccino,"Espresso, steamed milk, milk foam",Milk,true,true,
Flat White,Costa Coffee,,Fast Food,Coffee,120,6,9,7,4.5,0,9,80,227,1 flat white,"Double Espresso: 100% Arabica Coffee Beans (Mocha Italia blend).

Whole MILK: Pasteurised Cows' MILK, steamed with microfoam.

Made with whole milk by default. Plant-based milk alternatives available.",Milk,true,true,
Americano (Medium),Costa Coffee,,Fast Food,Coffee,6,0.5,1,0,0,0,0,5,340,Medium Americano,"Espresso, hot water",,true,true,
Mocha (Medium),Costa Coffee,,Fast Food,Coffee,291,8,38,12,7,1,33,130,340,Medium mocha,"Espresso, steamed milk, chocolate syrup, whipped cream",Milk,true,true,
Hot Chocolate (Medium),Costa Coffee,,Fast Food,Hot Drinks,315,10,40,13,8,1,36,170,340,Medium hot chocolate,"Milk, chocolate powder, whipped cream",Milk,true,true,
Chai Latte (Medium),Costa Coffee,,Fast Food,Hot Drinks,215,6,35,6,3.5,0,31,115,340,Medium chai latte,"Steamed milk, chai concentrate",Milk,true,true,
Iced Latte (Medium),Costa Coffee,,Fast Food,Cold Drinks,120,6,10,6,4,0,9,85,400,Medium iced latte,"Espresso, cold milk, ice",Milk,true,true,
Caramel Latte (Medium),Costa Coffee,,Fast Food,Coffee,241,7,36,8,5,0,33,130,340,Medium caramel latte,"Espresso, steamed milk, caramel syrup",Milk,true,true,
Vanilla Latte (Medium),Costa Coffee,,Fast Food,Coffee,221,7,32,7,4.5,0,29,120,340,Medium vanilla latte,"Espresso, steamed milk, vanilla syrup",Milk,true,true,
Oat Milk Latte (Medium),Costa Coffee,,Fast Food,Coffee,135,3,19,5,0.5,1.5,8,110,340,Medium oat latte,"Espresso, oat milk",Oats,true,true,
Croissant,Costa Coffee,,Fast Food,Pastries,290,6,28,17,10,1,5,320,70,1 croissant,"Wheat flour, butter, yeast, milk, eggs","Wheat, Milk, Eggs",true,true,
Pain au Chocolat,Costa Coffee,,Fast Food,Pastries,340,6,34,20,12,2,12,290,85,1 pastry,"Pastry, chocolate","Wheat, Milk, Eggs",true,true,
Bacon Roll,Costa Coffee,,Fast Food,Breakfast,310,15,35,12,4,2,3,980,120,1 roll,"Soft White Roll: WHEAT Flour (Calcium, Iron, Niacin, Thiamin), Water, Yeast, Sugar, Rapeseed Oil, Salt, WHEAT Gluten.

Smoked Bacon: Pork Belly, Water, Salt, Dextrose, Smoke Flavouring, Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite).

Ketchup/Brown Sauce: Available upon request.",Wheat,true,true,
Sausage Bap,Costa Coffee,,Fast Food,Breakfast,440,17,36,25,9,2,4,1050,150,1 bap,"Soft bap, pork sausages, brown sauce",Wheat,true,true,
Ham & Cheese Toastie,Costa Coffee,,Fast Food,Sandwiches,385,20,32,19,10,2,3,1180,155,1 toastie,"Bread, ham, cheese","Wheat, Milk",true,true,
Tuna Melt Panini,Costa Coffee,,Fast Food,Sandwiches,450,24,42,21,7,3,4,980,200,1 panini,"Panini bread, tuna mayo, cheese, sweetcorn","Wheat, Fish, Milk, Eggs",true,true,
Chicken & Bacon Panini,Costa Coffee,,Fast Food,Sandwiches,520,32,45,23,8,3,5,1350,220,1 panini,"Panini bread, chicken, bacon, cheese, mayo","Wheat, Milk, Eggs",true,true,
Chocolate Muffin,Costa Coffee,,Fast Food,Sweet,420,6,52,21,6,2,32,380,120,1 muffin,"Flour, chocolate chips, butter, sugar, eggs","Wheat, Milk, Eggs",true,true,
Blueberry Muffin,Costa Coffee,,Fast Food,Sweet,380,5,50,17,4,2,28,350,115,1 muffin,"Flour, blueberries, butter, sugar, eggs","Wheat, Milk, Eggs",true,true,
Carrot Cake,Costa Coffee,,Fast Food,Sweet,450,4,48,26,8,2,36,280,120,1 slice,"Carrot cake, cream cheese frosting","Wheat, Milk, Eggs, Tree Nuts",true,true,
Millionaire Shortbread,Costa Coffee,,Fast Food,Sweet,395,3,42,24,14,1,28,180,85,1 piece,"Shortbread, caramel, chocolate","Wheat, Milk",true,true,
Caffè Latte (Grande),Starbucks,,Fast Food,Coffee,190,13,19,7,4.5,0,17,170,473,Grande (16oz),"Espresso, steamed milk",Milk,true,true,
Caffè Latte (Tall),Starbucks,,Fast Food,Coffee,150,10,15,6,3.5,0,14,135,354,Tall (12oz),"Espresso, steamed milk",Milk,true,true,
Cappuccino (Grande),Starbucks,,Fast Food,Coffee,140,10,14,5,3,0,12,115,473,Grande (16oz),"Espresso: Starbucks Espresso Roast (100% Arabica Coffee Beans).

Semi-Skimmed MILK: Pasteurised Cows' MILK, steamed and frothed.

Made with 2% milk by default. Plant-based alternatives available.",Milk,true,true,
Flat White,Starbucks,,Fast Food,Coffee,170,11,13,9,5,0,12,130,354,Tall (12oz),"Double Espresso: 100% Arabica Coffee Beans (Mocha Italia blend).

Whole MILK: Pasteurised Cows' MILK, steamed with microfoam.

Made with whole milk by default. Plant-based milk alternatives available.",Milk,true,true,
Americano (Grande),Starbucks,,Fast Food,Coffee,15,1,2,0,0,0,0,10,473,Grande (16oz),"Espresso, hot water",,true,true,
Caramel Macchiato (Grande),Starbucks,,Fast Food,Coffee,250,10,35,7,4,0,33,150,473,Grande (16oz),"Espresso: Starbucks Espresso Roast (100% Arabica Coffee Beans).

Semi-Skimmed MILK: Pasteurised Cows' MILK, steamed.

Vanilla Syrup: Sugar, Water, Natural Flavourings, Citric Acid, Potassium Sorbate.

Caramel Drizzle: Sugar, Dextrose, Glucose Syrup, Butter (MILK), Fructose, Double Cream (MILK), Water, Skimmed MILK Powder, Natural Flavouring, Emulsifiers (SOYA Lecithins, Mono and Diglycerides of Fatty Acids), Acidity Regulator (Sodium Citrates), Salt, Stabiliser (Triphosphates).","Milk, Soya",true,true,
Mocha (Grande),Starbucks,,Fast Food,Coffee,360,13,44,15,9,2,35,150,473,Grande (16oz),"Espresso, mocha sauce, steamed milk, whipped cream",Milk,true,true,
White Chocolate Mocha (Grande),Starbucks,,Fast Food,Coffee,430,15,55,18,12,0,53,280,473,Grande (16oz),"Espresso, white chocolate sauce, steamed milk, whipped cream",Milk,true,true,
Vanilla Latte (Grande),Starbucks,,Fast Food,Coffee,250,12,37,6,3.5,0,35,170,473,Grande (16oz),"Espresso, vanilla syrup, steamed milk",Milk,true,true,
Iced Caramel Macchiato (Grande),Starbucks,,Fast Food,Cold Drinks,250,10,34,7,4.5,0,33,140,473,Grande (16oz),"Milk, vanilla syrup, espresso, caramel drizzle, ice",Milk,true,true,
"Frappuccino (Caramel, Grande)",Starbucks,,Fast Food,Cold Drinks,380,5,57,15,9,0,54,230,473,Grande (16oz),"Frappuccino Base: Ice, MILK, Coffee Frappuccino Syrup (Sugar, Water, Natural Flavourings, Salt, Xanthan Gum, Potassium Sorbate, Citric Acid).

Espresso: Starbucks Espresso Roast.

Caramel Syrup: Sugar, Water, Natural Flavourings.

Whipped Cream: Cream (MILK), Sugar.

Caramel Drizzle: Sugar, Butter (MILK), Double Cream (MILK), SOYA Lecithins.","Milk, Soya",true,true,
"Frappuccino (Mocha, Grande)",Starbucks,,Fast Food,Cold Drinks,370,6,55,15,9,2,51,200,473,Grande (16oz),"Ice, milk, coffee, mocha sauce, whipped cream",Milk,true,true,
Hot Chocolate (Grande),Starbucks,,Fast Food,Hot Drinks,370,14,47,14,9,2,43,240,473,Grande (16oz),"Steamed milk, mocha sauce, whipped cream",Milk,true,true,
Chai Tea Latte (Grande),Starbucks,,Fast Food,Hot Drinks,240,8,42,4.5,2,0,42,115,473,Grande (16oz),"Chai concentrate, steamed milk",Milk,true,true,
Oat Milk Latte (Grande),Starbucks,,Fast Food,Coffee,170,4,23,7,0.5,2,10,190,473,Grande (16oz),"Espresso, oat milk",Oats,true,true,
Bacon & Gouda Sandwich,Starbucks,,Fast Food,Sandwiches,360,18,29,19,8,1,2,800,130,1 sandwich,"Ciabatta roll, bacon, gouda cheese, egg","Wheat, Milk, Eggs",true,true,
Ham & Cheese Toastie,Starbucks,,Fast Food,Sandwiches,390,21,33,19,9,2,4,1150,155,1 toastie,"Bread, ham, cheese","Wheat, Milk",true,true,
All Day Breakfast Wrap,Starbucks,,Fast Food,Wraps,420,19,35,23,8,2,3,980,175,1 wrap,"Tortilla, egg, bacon, sausage, cheese, hash brown","Wheat, Milk, Eggs",true,true,
Croissant,Starbucks,,Fast Food,Pastries,260,5,26,15,9,1,4,280,65,1 croissant,"Wheat flour, butter, milk, eggs, yeast","Wheat, Milk, Eggs",true,true,
Chocolate Croissant,Starbucks,,Fast Food,Pastries,310,5,34,17,10,2,12,260,75,1 pastry,"Pastry, chocolate batons","Wheat, Milk, Eggs, Soya",true,true,
Blueberry Muffin,Starbucks,,Fast Food,Sweet,350,5,53,13,2,1,29,390,115,1 muffin,"Flour, blueberries, sugar, vegetable oil, eggs","Wheat, Eggs",true,true,
Double Chocolate Muffin,Starbucks,,Fast Food,Sweet,410,7,55,19,5,3,34,410,125,1 muffin,"Flour, cocoa, chocolate chips, sugar, eggs","Wheat, Milk, Eggs, Soya",true,true,
Cookie (Chocolate Chunk),Starbucks,,Fast Food,Sweet,310,4,42,14,8,2,26,220,70,1 cookie,"Flour, butter, chocolate chunks, sugar, eggs","Wheat, Milk, Eggs, Soya",true,true,
Cake Pop,Starbucks,,Fast Food,Sweet,140,1,19,6,4,0,15,75,35,1 cake pop,"Cake crumbs, frosting, chocolate coating","Wheat, Milk, Eggs, Soya",true,true,
Chicken & Avocado Sandwich,Pret A Manger,,Fast Food,Sandwiches,476,26,38,24,4,5,4,680,245,1 sandwich,"Artisan Bread: WHEAT Flour (Calcium, Iron, Niacin, Thiamin), Water, WHEAT Sourdough, Salt, Yeast.

Chicken Breast: Free-Range British Chicken, Water, Salt.

Avocado: Hass Avocado, Lime Juice, Salt.

Basil Pesto Mayonnaise: Rapeseed Oil, Free Range EGG Yolk, Basil, Parmesan Cheese (MILK), Pine NUTS, Garlic, Lemon Juice, Salt.

Salad Leaves: Spinach, Rocket.","Wheat, Eggs, Milk, Nuts",true,true,
Tuna & Cucumber Baguette,Pret A Manger,,Fast Food,Sandwiches,445,24,52,16,3,3,5,720,260,1 baguette,"White baguette, skipjack tuna, cucumber, red onion, Pret mayo, lemon juice","Wheat, Fish, Egg",true,true,
Classic Super Club,Pret A Manger,,Fast Food,Sandwiches,567,32,44,28,6,4,5,890,285,1 sandwich,"Malted bread, free-range chicken, smoked bacon, tomato, lettuce, mayo","Wheat, Egg",true,true,
Egg Mayo & Cress Sandwich,Pret A Manger,,Fast Food,Sandwiches,378,14,34,20,4,3,3,520,180,1 sandwich,"Brown bread, free-range eggs, mayo, cress, black pepper","Wheat, Egg",true,true,
Brie & Tomato Baguette,Pret A Manger,,Fast Food,Sandwiches,512,18,54,24,12,3,6,680,240,1 baguette,"White baguette, brie cheese, sun-dried tomatoes, basil pesto, rocket","Wheat, Milk",true,true,
Coronation Chicken Sandwich,Pret A Manger,,Fast Food,Sandwiches,498,25,42,25,4,4,8,640,255,1 sandwich,"Malted bread, free-range chicken, coronation sauce with mango, raisins, mixed leaves","Wheat, Egg, Sulphites",true,true,
Chef Italian Chicken Salad,Pret A Manger,,Fast Food,Salads,356,28,18,19,5,4,6,580,320,1 salad,"Mixed leaves, grilled chicken, parmesan, cherry tomatoes, olives, Italian dressing","Milk, Sulphites",true,true,
Falafel & Halloumi Mezze Salad,Pret A Manger,,Fast Food,Salads,445,18,32,26,9,8,8,720,340,1 salad,"Mixed leaves, falafel, halloumi, hummus, pickled red cabbage, pomegranate, tahini dressing","Milk, Sesame, Wheat",true,true,
Chicken & Mushroom Soup,Pret A Manger,,Fast Food,Soups,245,16,18,12,6,2,4,680,350,1 regular,"Chicken stock, free-range chicken, mushrooms, cream, onion, thyme",Milk,true,true,
Tomato Soup,Pret A Manger,,Fast Food,Soups,178,4,22,8,4,3,14,580,350,1 regular,"Tomatoes, cream, onion, garlic, basil, olive oil",Milk,true,true,
Almond Croissant,Pret A Manger,,Fast Food,Bakery,456,10,42,28,14,3,18,280,110,1 croissant,"Wheat flour, butter, almonds, sugar, eggs, almond paste","Wheat, Milk, Egg, Tree Nuts",true,true,
Pain au Chocolat,Pret A Manger,,Fast Food,Bakery,312,6,32,18,10,2,12,220,80,1 pastry,"Wheat flour, butter, dark chocolate, sugar, eggs, yeast","Wheat, Milk, Egg, Soya",true,true,
Chocolate Chunk Cookie,Pret A Manger,,Fast Food,Bakery,365,4,42,20,12,2,28,180,80,1 cookie,"Wheat flour, butter, dark chocolate chunks, brown sugar, eggs, vanilla","Wheat, Milk, Egg, Soya",true,true,
Chicken Caesar Wrap,Pret A Manger,,Fast Food,Wraps,478,28,38,22,6,3,4,820,250,1 wrap,"Tortilla wrap, free-range chicken, romaine lettuce, parmesan, Caesar dressing","Wheat, Milk, Egg, Fish",true,true,
Falafel & Hummus Wrap,Pret A Manger,,Fast Food,Wraps,445,14,52,20,3,8,6,680,270,1 wrap,"Tortilla wrap, falafel, hummus, mixed leaves, pickled red cabbage, tahini","Wheat, Sesame",true,true,
Hamburger,Five Guys,,Fast Food,Burgers,700,39,39,43,19,2,8,430,243,1 burger,"Regular Bun: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Sugar, Vegetable Oil (Rapeseed), Yeast, Salt, Emulsifier (E481), WHEAT Gluten, Preservative (Calcium Propionate).

Beef Patty: 100% Pure Beef. A little salt and pepper is added to season after cooking.

Ketchup: Tomatoes, Spirit Vinegar, Sugar, Salt, Spice Extracts.

Mustard: Water, Spirit Vinegar, MUSTARD Seed, Salt, Sugar.

Onions: 100% Dehydrated Onion, rehydrated.

Pickle Slices: Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate).","Wheat, Mustard",true,true,
